sample	group	names
MDHFG36_1	DH_FY	MDHFG36_1
MDHFG10_1	DH_FY	MDHFG10_1
MDHFG30_2	DH_FY	MDHFG30_2
MDHFG19_2	DH_FY	MDHFG19_2
MDHFG24_1	DH_FY	MDHFG24_1
MDHFG18_2	DH_FY	MDHFG18_2
MDHFG14_2	DH_FY	MDHFG14_2
MDHFG38_2	DH_FY	MDHFG38_2
MDHFG34_2	DH_FY	MDHFG34_2
MDHFG29_2	DH_FY	MDHFG29_2
MDHFG6_1	DH_FY	MDHFG6_1
MDHFG9_1	DH_FY	MDHFG9_1
MDHFG7_2	DH_FY	MDHFG7_2
MDHFG31_2	DH_FY	MDHFG31_2
MDHFG17_2	DH_FY	MDHFG17_2
MDHFG5_2	DH_FY	MDHFG5_2
MDHFG12_2	DH_FY	MDHFG12_2
MDHFG4_2	DH_FY	MDHFG4_2
MDHFG22_1	DH_FY	MDHFG22_1
MDHFG11_2	DH_FY	MDHFG11_2
MDHFG35_2	DH_FY	MDHFG35_2
MDHFG27_2	DH_FY	MDHFG27_2
MDHFG8_1	DH_FY	MDHFG8_1
MDHFG2_3	DH_FY	MDHFG2_3
MDHFG28_2	DH_FY	MDHFG28_2
MDHFG23_2	DH_FY	MDHFG23_2
MDHFG37_2	DH_FY	MDHFG37_2
MDHFG1_1	DH_FY	MDHFG1_1
MDHFG16_2	DH_FY	MDHFG16_2
MDHFG13_1	DH_FY	MDHFG13_1
MDHFT4_1	DH_JY	MDHFT4_1
MDHFT19_1	DH_JY	MDHFT19_1
MDHFT3_1	DH_JY	MDHFT3_1
MDHFT6_1	DH_JY	MDHFT6_1
MDHFT21_1	DH_JY	MDHFT21_1
MDHFT8_1	DH_JY	MDHFT8_1
MDHFT15_1	DH_JY	MDHFT15_1
MDHFT23_1	DH_JY	MDHFT23_1
MDHFT14_1	DH_JY	MDHFT14_1
MDHFT27_1	DH_JY	MDHFT27_1
MDHFT2_1	DH_JY	MDHFT2_1
MDHFT10_1	DH_JY	MDHFT10_1
MDHFT17_1	DH_JY	MDHFT17_1
MDHFT34_1	DH_JY	MDHFT34_1
MDHFT24_1	DH_JY	MDHFT24_1
MDHFT33_1	DH_JY	MDHFT33_1
MDHFT31_1	DH_JY	MDHFT31_1
MDHFT18_1	DH_JY	MDHFT18_1
MDHFT32_1	DH_JY	MDHFT32_1
MDHFT16_1	DH_JY	MDHFT16_1
MDHFT1_1	DH_JY	MDHFT1_1
MDHFT7_1	DH_JY	MDHFT7_1
MDHFT29_1	DH_JY	MDHFT29_1
MDHFT20_1	DH_JY	MDHFT20_1
MDHFT30_1	DH_JY	MDHFT30_1
MDHFT25_2	DH_JY	MDHFT25_2
MDHFT26_2	DH_JY	MDHFT26_2
MDHFT35_2	DH_JY	MDHFT35_2
