Sample	Phylum	Number	Group
MDHFO10	Thermoplasmatota	0.000579670298525882	1_DHNL
MDHFO11	Thermoplasmatota	0.000204480592457094	1_DHNL
MDHFO12	Thermoplasmatota	0.0194644367606858	1_DHNL
MDHFO13	Thermoplasmatota	0.000201231305184006	1_DHNL
MDHFO14	Thermoplasmatota	0.00438104821551225	1_DHNL
MDHFO15	Thermoplasmatota	0.000184871834201948	1_DHNL
MDHFO16	Thermoplasmatota	0.00305512012816783	1_DHNL
MDHFO17	Thermoplasmatota	0.0110072080738733	1_DHNL
MDHFO18	Thermoplasmatota	0.000103652002061691	1_DHNL
MDHFO19	Thermoplasmatota	0.000199555080010173	1_DHNL
MDHFO1	Thermoplasmatota	0.000267196337109747	1_DHNL
MDHFO20	Thermoplasmatota	0.000593022219678418	1_DHNL
MDHFO21	Thermoplasmatota	0.000122996455414558	1_DHNL
MDHFO22	Thermoplasmatota	0.00033123566457339	1_DHNL
MDHFO23	Thermoplasmatota	0.000421141387525778	1_DHNL
MDHFO24	Thermoplasmatota	0.00073461863895485	1_DHNL
MDHFO25	Thermoplasmatota	0.000115499849716121	1_DHNL
MDHFO26	Thermoplasmatota	0.00015143698464416	1_DHNL
MDHFO27	Thermoplasmatota	0.000755875384905779	1_DHNL
MDHFO28	Thermoplasmatota	0.000148447104607463	1_DHNL
MDHFO29	Thermoplasmatota	0.000962839348264727	1_DHNL
MDHFO2	Thermoplasmatota	0.00568741452951705	1_DHNL
MDHFO30	Thermoplasmatota	0.000192282482674791	1_DHNL
MDHFO3	Thermoplasmatota	0.0203590531397602	1_DHNL
MDHFO4	Thermoplasmatota	0.00424592472962558	1_DHNL
MDHFO5	Thermoplasmatota	0.000133700724669562	1_DHNL
MDHFO6	Thermoplasmatota	0.00232983352439222	1_DHNL
MDHFO7	Thermoplasmatota	0.00052648964826727	1_DHNL
MDHFO8	Thermoplasmatota	0.00136582491598427	1_DHNL
MDHFO9	Thermoplasmatota	0.000201695400202775	1_DHNL
MDHFS10-2	Thermoplasmatota	0.0124864415319387	6_DHNL
