Sample	Phylum	Number	Group
MDHFG10-1	Thermoplasmatota	0.00340141924643729	DH_FY
MDHFG11-2	Thermoplasmatota	0.00378301609260786	DH_FY
MDHFG1-1	Thermoplasmatota	0.000407821335987638	DH_FY
MDHFG12-2	Thermoplasmatota	0.000281808328251214	DH_FY
MDHFG13-1	Thermoplasmatota	0.000228014200228193	DH_FY
MDHFG14-2	Thermoplasmatota	0.00271298568789839	DH_FY
MDHFG16-2	Thermoplasmatota	0.000196389003239433	DH_FY
MDHFG17-2	Thermoplasmatota	0.00744025393296904	DH_FY
MDHFG18-2	Thermoplasmatota	0.000327171601684632	DH_FY
MDHFG19-2	Thermoplasmatota	0.00377603618885278	DH_FY
MDHFG22-1	Thermoplasmatota	0.000207831222993372	DH_FY
MDHFG23-2	Thermoplasmatota	0.0121503740891017	DH_FY
MDHFG2-3	Thermoplasmatota	0.00389533610337373	DH_FY
MDHFG24-1	Thermoplasmatota	0.00758264191958775	DH_FY
MDHFG27-2	Thermoplasmatota	0.000186965816379457	DH_FY
MDHFG28-2	Thermoplasmatota	0.00335434777637617	DH_FY
MDHFG29-2	Thermoplasmatota	0.0110537429939466	DH_FY
MDHFG30-2	Thermoplasmatota	0.00593948312942989	DH_FY
MDHFG31-2	Thermoplasmatota	0.00135039234890788	DH_FY
MDHFG34-2	Thermoplasmatota	0.000140511286295321	DH_FY
MDHFG35-2	Thermoplasmatota	0.00562401170851812	DH_FY
MDHFG36-1	Thermoplasmatota	0.0044775785654827	DH_FY
MDHFG37-2	Thermoplasmatota	0.00467383470615557	DH_FY
MDHFG38-2	Thermoplasmatota	0.00749111134569821	DH_FY
MDHFG4-2	Thermoplasmatota	0.000354390836862721	DH_FY
MDHFG5-2	Thermoplasmatota	0.000705455597279894	DH_FY
MDHFG6-1	Thermoplasmatota	0.00240362315263962	DH_FY
MDHFG7-2	Thermoplasmatota	0.0084871399398803	DH_FY
MDHFG8-1	Thermoplasmatota	0.000535395807444855	DH_FY
MDHFG9-1	Thermoplasmatota	0.000501435852050015	DH_FY
MDHFT10-1	Thermoplasmatota	0.00764619307462921	DH_JY
MDHFT1-1	Thermoplasmatota	0.00680378096740566	DH_JY
MDHFT14-1	Thermoplasmatota	0.00875665201954421	DH_JY
MDHFT15-1	Thermoplasmatota	0.0064345069273157	DH_JY
MDHFT16-1	Thermoplasmatota	0.00627552893722715	DH_JY
MDHFT17-1	Thermoplasmatota	0.0107970039562357	DH_JY
MDHFT18-1	Thermoplasmatota	0.00548260137193159	DH_JY
MDHFT19-1	Thermoplasmatota	0.00658469276029006	DH_JY
MDHFT20-1	Thermoplasmatota	0.00706724873265792	DH_JY
MDHFT21-1	Thermoplasmatota	0.00906240131329963	DH_JY
MDHFT2-1	Thermoplasmatota	0.00926728670312693	DH_JY
MDHFT23-1	Thermoplasmatota	0.0115487527344192	DH_JY
MDHFT24-1	Thermoplasmatota	0.00749702143207387	DH_JY
MDHFT25-2	Thermoplasmatota	0.00778566696539663	DH_JY
MDHFT26-2	Thermoplasmatota	0.00857822870578238	DH_JY
MDHFT27-1	Thermoplasmatota	0.00842568840796991	DH_JY
MDHFT29-1	Thermoplasmatota	0.00961691863251071	DH_JY
MDHFT30-1	Thermoplasmatota	0.0054332014972737	DH_JY
MDHFT31-1	Thermoplasmatota	0.010739516588569	DH_JY
MDHFT3-1	Thermoplasmatota	0.00653224433039738	DH_JY
MDHFT32-1	Thermoplasmatota	0.00760778304359603	DH_JY
MDHFT33-1	Thermoplasmatota	0.00938722089813059	DH_JY
MDHFT34-1	Thermoplasmatota	0.00707648797731949	DH_JY
MDHFT35-2	Thermoplasmatota	0.00549016150497191	DH_JY
MDHFT4-1	Thermoplasmatota	0.00559812255906134	DH_JY
MDHFT6-1	Thermoplasmatota	0.00717373678379951	DH_JY
MDHFT7-1	Thermoplasmatota	0.00780993447032431	DH_JY
MDHFT8-1	Thermoplasmatota	0.0125786488086513	DH_JY
MDHFG10-1	Actinobacteriota	0.000386880352259217	DH_FY
MDHFG11-2	Actinobacteriota	0.001318427928177	DH_FY
MDHFG1-1	Actinobacteriota	0.000180704761703591	DH_FY
