Sample	Phylum	Number	Group
AMSCB1-2	Thermoplasmatota	0.000620071128572697	WZ_W
AMSCB2-1	Thermoplasmatota	0.00379307736808867	WZ_W
AMSCB3-2	Thermoplasmatota	0.000320684559256186	WZ_W
AMSCB4-1	Thermoplasmatota	0.00178944814788262	WZ_W
AMSCB5-2	Thermoplasmatota	0.00735252754977667	WZ_W
AMSCH3-1	Thermoplasmatota	0.000206495107459486	WZ_XC
AMSCJ1-1	Thermoplasmatota	0.00173421063048948	WZ_DC
AMSCJ2-2	Thermoplasmatota	0.0038963639000154	WZ_DC
AMSCJ3-1	Thermoplasmatota	0.00375788510009796	WZ_DC
AMSCJ5-2	Thermoplasmatota	0.00510377678183368	WZ_DC
AMSCK2-1	Thermoplasmatota	0.00150514862611466	WZ_XC
AMSCK3-1	Thermoplasmatota	0.00055159321171106	WZ_XC
AMSCK4-1	Thermoplasmatota	0.000322338679511867	WZ_XC
AMSCL1-1	Thermoplasmatota	0.000272800651557741	WZ_W
AMSCL2-1	Thermoplasmatota	0.00184216789773019	WZ_W
AMSCL3-1	Thermoplasmatota	0.00027171057204565	WZ_W
AMSCL4-1	Thermoplasmatota	0.00149814624295202	WZ_W
AMSCL5-2	Thermoplasmatota	0.00492869438955883	WZ_W
AMSCO1-1	Thermoplasmatota	0.00133293103813359	WZ_DC
AMSCO2-2	Thermoplasmatota	0.00506292347480071	WZ_DC
AMSCO3-1	Thermoplasmatota	0.0065307800457523	WZ_DC
AMSCO4-1	Thermoplasmatota	0.00610394963707822	WZ_DC
AMSCO5-2	Thermoplasmatota	0.00466297298589246	WZ_DC
AMSCS5-1	Thermoplasmatota	0.00641319622648423	WZ_XC
AMSCS5-2	Thermoplasmatota	0.00568470135448375	WZ_XC
AMSCW1-1	Thermoplasmatota	0.000287860190343084	WZ_W
AMSCW2-1	Thermoplasmatota	0.00158074945404029	WZ_W
AMSCW3-1	Thermoplasmatota	0.000274907450199181	WZ_W
AMSCW4-1	Thermoplasmatota	0.00281833812892497	WZ_W
AMSCW5-2	Thermoplasmatota	0.00433651912250166	WZ_W
AMSCZ2-1	Thermoplasmatota	0.00500625730901868	WZ_W
AMSCZ3-1	Thermoplasmatota	0.00200051873766097	WZ_W
AMSCZ5-2	Thermoplasmatota	0.00609047216859069	WZ_W
AMSFB10-1	Thermoplasmatota	0.00313274691759727	WZ_W
AMSFB11-1	Thermoplasmatota	0.00900247437025733	WZ_W
AMSFB12-1	Thermoplasmatota	0.00727804217223289	WZ_W
AMSFB13-2	Thermoplasmatota	0.0108357281462405	WZ_W
AMSFB14-1	Thermoplasmatota	0.00243647041347887	WZ_W
AMSFB2-1	Thermoplasmatota	0.00124687657565882	WZ_W
AMSFB3-1	Thermoplasmatota	0.0067470278308001	WZ_W
AMSFB4-1	Thermoplasmatota	0.000486975112258139	WZ_W
AMSFB5-1	Thermoplasmatota	0.00115544694407598	WZ_W
AMSFB6-1	Thermoplasmatota	0.00220221699915611	WZ_W
AMSFB8-1	Thermoplasmatota	0.00845770791107235	WZ_W
AMSFB9-2	Thermoplasmatota	0.00689042658936159	WZ_W
AMSFH11-1	Thermoplasmatota	0.00876621189294273	WZ_XC
AMSFH12-2	Thermoplasmatota	0.00684393485105029	WZ_XC
AMSFH13-1	Thermoplasmatota	0.00176871849591176	WZ_XC
AMSFH3-2	Thermoplasmatota	0.00527343510413603	WZ_XC
AMSFH4-1	Thermoplasmatota	0.00103925636155343	WZ_XC
AMSFH5-1	Thermoplasmatota	0.00226577112795276	WZ_XC
AMSFH6-1	Thermoplasmatota	0.00366962292343271	WZ_XC
AMSFH8-1	Thermoplasmatota	0.00259613710206985	WZ_XC
AMSFH9-1	Thermoplasmatota	0.00182169965687196	WZ_XC
AMSFJ10-1	Thermoplasmatota	0.00650678997894519	WZ_DC
AMSFJ11-1	Thermoplasmatota	0.00327708719311769	WZ_DC
AMSFJ12-1	Thermoplasmatota	0.00526188083413418	WZ_DC
AMSFJ13-2	Thermoplasmatota	0.00850498642219814	WZ_DC
AMSFJ14-1	Thermoplasmatota	0.00983637993421491	WZ_DC
AMSFJ2-2	Thermoplasmatota	0.00413331724177429	WZ_DC
AMSFJ3-1	Thermoplasmatota	0.0018961616875774	WZ_DC
AMSFJ4-1	Thermoplasmatota	0.00052730046626142	WZ_DC
AMSFJ5-1	Thermoplasmatota	0.00588557571090766	WZ_DC
AMSFJ6-1	Thermoplasmatota	0.00333019174549984	WZ_DC
AMSFJ8-1	Thermoplasmatota	0.00281142690484516	WZ_DC
AMSFJ9-2	Thermoplasmatota	0.00840717374058206	WZ_DC
AMSFK11-1	Thermoplasmatota	0.0211825220039828	WZ_XC
AMSFK12-1	Thermoplasmatota	0.00282286652424964	WZ_XC
AMSFK13-2	Thermoplasmatota	0.00199522398087698	WZ_XC
AMSFK3-2	Thermoplasmatota	0.000711658642406021	WZ_XC
AMSFK4-2	Thermoplasmatota	0.00101839955252907	WZ_XC
AMSFK7-2	Thermoplasmatota	0.000958684089973122	WZ_XC
AMSFK8-1	Thermoplasmatota	0.00196181179069968	WZ_XC
AMSFL10-1	Thermoplasmatota	0.00162603318500883	WZ_W
AMSFL11-1	Thermoplasmatota	0.0102321697099632	WZ_W
AMSFL12-1	Thermoplasmatota	0.00469420463398498	WZ_W
AMSFL13-2	Thermoplasmatota	0.00623955405545098	WZ_W
AMSFL14-1	Thermoplasmatota	0.00113107496692453	WZ_W
AMSFL2-1	Thermoplasmatota	0.00268731836687777	WZ_W
AMSFL3-1	Thermoplasmatota	0.00158202076244817	WZ_W
AMSFL4-1	Thermoplasmatota	0.000926408758319322	WZ_W
AMSFL5-1	Thermoplasmatota	0.00119251769644879	WZ_W
AMSFL6-1	Thermoplasmatota	0.00194402053582421	WZ_W
AMSFL8-1	Thermoplasmatota	0.00449821134745405	WZ_W
AMSFL9-2	Thermoplasmatota	0.00509878616673251	WZ_W
AMSFO10-1	Thermoplasmatota	0.00618350718291137	WZ_DC
AMSFO11-1	Thermoplasmatota	0.00415494447074292	WZ_DC
AMSFO12-1	Thermoplasmatota	0.00680221719293466	WZ_DC
AMSFO13-2	Thermoplasmatota	0.000294915624114019	WZ_DC
AMSFO14-1	Thermoplasmatota	0.00953262946442746	WZ_DC
AMSFO3-2	Thermoplasmatota	0.0267736018701758	WZ_DC
AMSFO4-1	Thermoplasmatota	0.000464056214381456	WZ_DC
AMSFO5-1	Thermoplasmatota	0.00786030978542296	WZ_DC
AMSFO6-1	Thermoplasmatota	0.00371475902543554	WZ_DC
AMSFO8-1	Thermoplasmatota	0.00321491858283717	WZ_DC
AMSFO9-2	Thermoplasmatota	0.00279263778997995	WZ_DC
AMSFS10-1	Thermoplasmatota	0.00595915446310093	WZ_XC
AMSFS11-1	Thermoplasmatota	0.00578286047967108	WZ_XC
AMSFS12-1	Thermoplasmatota	0.00601419151818423	WZ_XC
AMSFS13-2	Thermoplasmatota	0.00274792898446558	WZ_XC
AMSFS14-1	Thermoplasmatota	0.00413961088656132	WZ_XC
AMSFS4-1	Thermoplasmatota	0.00202259172099658	WZ_XC
AMSFS5-1	Thermoplasmatota	0.00538510553577624	WZ_XC
AMSFS6-1	Thermoplasmatota	0.00790951829603518	WZ_XC
AMSFS7-2	Thermoplasmatota	0.00317429097723236	WZ_XC
AMSFS8-1	Thermoplasmatota	0.00487693099475236	WZ_XC
AMSFS9-2	Thermoplasmatota	0.00492965018433186	WZ_XC
AMSFW10-1	Thermoplasmatota	0.00223989430568806	WZ_W
AMSFW11-1	Thermoplasmatota	0.0139718805377935	WZ_W
AMSFW12-1	Thermoplasmatota	0.00576494471573206	WZ_W
AMSFW13-2	Thermoplasmatota	0.00297336886752103	WZ_W
AMSFW14-1	Thermoplasmatota	0.00137321963569411	WZ_W
AMSFW2-1	Thermoplasmatota	0.00201114909281645	WZ_W
AMSFW3-2	Thermoplasmatota	0.00218563503657922	WZ_W
AMSFW4-1	Thermoplasmatota	0.00114489450862881	WZ_W
AMSFW5-1	Thermoplasmatota	0.000889379063149217	WZ_W
AMSFW6-1	Thermoplasmatota	0.00297032438746295	WZ_W
AMSFW8-1	Thermoplasmatota	0.00587742859793099	WZ_W
AMSFW9-2	Thermoplasmatota	0.00164460840300394	WZ_W
AMSFZ10-1	Thermoplasmatota	0.00649178139477797	WZ_W
AMSFZ11-1	Thermoplasmatota	0.00382430509588187	WZ_W
AMSFZ12-1	Thermoplasmatota	0.00915661984416762	WZ_W
AMSFZ14-1	Thermoplasmatota	0.00803987880423142	WZ_W
AMSFZ2-1	Thermoplasmatota	0.00779638493439948	WZ_W
AMSFZ3-1	Thermoplasmatota	0.00204552104200623	WZ_W
AMSFZ4-1	Thermoplasmatota	0.00355738250778694	WZ_W
AMSFZ5-1	Thermoplasmatota	0.00683518322070028	WZ_W
AMSFZ6-1	Thermoplasmatota	0.00978681913241675	WZ_W
AMSFZ8-1	Thermoplasmatota	0.00458604938671226	WZ_W
AMSFZ9-2	Thermoplasmatota	0.00341310708645193	WZ_W
AWMGB10-1	Thermoplasmatota	0.000486526304067484	WZ_W
AWMGB11-2	Thermoplasmatota	0.00120571058728599	WZ_W
AWMGB12-2	Thermoplasmatota	0.00149554411593124	WZ_W
AWMGB1-2	Thermoplasmatota	0.0165708289582066	WZ_W
AWMGB13-2	Thermoplasmatota	0.0293410612488459	WZ_W
AWMGB20-1	Thermoplasmatota	0.00579463805554307	WZ_W
