Sample	Phylum	Number	Group
CF10	Thermoplasmatota	0.00633531998724006	DQ_SC
CF13	Thermoplasmatota	0.00287568892834951	DQ_SC
CF14	Thermoplasmatota	0.00340625666845142	DQ_SC
CF15	Thermoplasmatota	0.00380308833315141	DQ_SC
CF16	Thermoplasmatota	0.00473951106741696	DQ_SC
CF17	Thermoplasmatota	0.00443272525703442	DQ_SC
CF18	Thermoplasmatota	0.00445786686155052	DQ_SC
CF19	Thermoplasmatota	0.00531566175807394	DQ_SC
CF1	Thermoplasmatota	0.00241605204606167	DQ_SC
CF20	Thermoplasmatota	0.00580185319991941	DQ_SC
CF22	Thermoplasmatota	0.00609841680817185	DQ_SC
CF23	Thermoplasmatota	0.00380706658695159	DQ_SC
CF24	Thermoplasmatota	0.00302390245165249	DQ_SC
CF25	Thermoplasmatota	0.00380809595775564	DQ_SC
CF26	Thermoplasmatota	0.00451345898346732	DQ_SC
CF27	Thermoplasmatota	0.00567231912374085	DQ_SC
CF28	Thermoplasmatota	0.0044177218292419	DQ_SC
CF29	Thermoplasmatota	0.00324302662654742	DQ_SC
CF2	Thermoplasmatota	0.00438995744255617	DQ_SC
CF30	Thermoplasmatota	0.00270698608764085	DQ_SC
CF31	Thermoplasmatota	0.00191590597345161	DQ_SC
CF32	Thermoplasmatota	0.00377713103317173	DQ_SC
CF33	Thermoplasmatota	0.00334720875621557	DQ_SC
CF3	Thermoplasmatota	0.00375665152625156	DQ_SC
CF4	Thermoplasmatota	0.0032845145683512	DQ_SC
CF5	Thermoplasmatota	0.00288790309882883	DQ_SC
CF6	Thermoplasmatota	0.00306977183199676	DQ_SC
CF7	Thermoplasmatota	0.00365633042485562	DQ_SC
CF8	Thermoplasmatota	0.00628735532740403	DQ_SC
CF9	Thermoplasmatota	0.005785298965241	DQ_SC
GXFCY10	Thermoplasmatota	0.0114040902473979	DQ_NN
GXFCY11	Thermoplasmatota	0.00611048982214441	DQ_NN
GXFCY12	Thermoplasmatota	0.00668989964328359	DQ_NN
GXFCY13	Thermoplasmatota	0.00886752351298001	DQ_NN
GXFCY14	Thermoplasmatota	0.00867116707436425	DQ_NN
GXFCY15	Thermoplasmatota	0.00671219576272362	DQ_NN
GXFCY16	Thermoplasmatota	0.00871921463458177	DQ_NN
GXFCY17	Thermoplasmatota	0.0132372072626558	DQ_NN
GXFCY18	Thermoplasmatota	0.0134545103216053	DQ_NN
GXFCY19	Thermoplasmatota	0.00786160714793517	DQ_NN
GXFCY1	Thermoplasmatota	0.00536366808649359	DQ_NN
GXFCY20	Thermoplasmatota	0.00912435108452056	DQ_NN
GXFCY21	Thermoplasmatota	0.00915264007637952	DQ_NN
GXFCY22	Thermoplasmatota	0.005903709770798	DQ_NN
GXFCY23	Thermoplasmatota	0.00453056549309598	DQ_NN
GXFCY24	Thermoplasmatota	0.0103974628100236	DQ_NN
GXFCY25	Thermoplasmatota	0.0112795713124929	DQ_NN
GXFCY26	Thermoplasmatota	0.00684730066955044	DQ_NN
GXFCY27	Thermoplasmatota	0.00600173176442505	DQ_NN
GXFCY28	Thermoplasmatota	0.00343780474423847	DQ_NN
GXFCY29	Thermoplasmatota	0.00410701553729786	DQ_NN
GXFCY2	Thermoplasmatota	0.0102502120852375	DQ_NN
GXFCY30	Thermoplasmatota	0.00843919658686416	DQ_NN
GXFCY31	Thermoplasmatota	0.00805835025054611	DQ_NN
GXFCY3	Thermoplasmatota	0.00782848258544988	DQ_NN
GXFCY4	Thermoplasmatota	0.00875651948467145	DQ_NN
GXFCY5	Thermoplasmatota	0.0112913878435892	DQ_NN
GXFCY6	Thermoplasmatota	0.00718205362732356	DQ_NN
GXFCY7	Thermoplasmatota	0.00498919330291702	DQ_NN
GXFCY9	Thermoplasmatota	0.0103612945243322	DQ_NN
JHFTF11	Thermoplasmatota	0.00495595735597526	DQ_HN
JHFTF12	Thermoplasmatota	0.00358088976364232	DQ_HN
JHFTF13	Thermoplasmatota	0.00410218935050112	DQ_HN
JHFTF14	Thermoplasmatota	0.00235179095641249	DQ_HN
JHFTF15	Thermoplasmatota	0.00405302282879564	DQ_HN
JHFTF16	Thermoplasmatota	0.00512554533104964	DQ_HN
JHFTF17	Thermoplasmatota	0.00481957356977397	DQ_HN
JHFTF18	Thermoplasmatota	0.00592902131278519	DQ_HN
JHFTF19	Thermoplasmatota	0.00773630892008604	DQ_HN
JHFTF1	Thermoplasmatota	0.00971156372606635	DQ_HN
JHFTF20	Thermoplasmatota	0.00781023535458455	DQ_HN
JHFTF21	Thermoplasmatota	0.00265463064791558	DQ_HN
JHFTF22	Thermoplasmatota	0.0047911310116844	DQ_HN
JHFTF23	Thermoplasmatota	0.00714706262767143	DQ_HN
JHFTF25	Thermoplasmatota	0.00747011350124747	DQ_HN
JHFTF26	Thermoplasmatota	0.00635913007510074	DQ_HN
JHFTF27	Thermoplasmatota	0.00322495452873392	DQ_HN
JHFTF28	Thermoplasmatota	0.00364789501101029	DQ_HN
JHFTF29	Thermoplasmatota	0.00358466647770548	DQ_HN
JHFTF2	Thermoplasmatota	0.00677944950228552	DQ_HN
JHFTF30	Thermoplasmatota	0.00372905805143807	DQ_HN
JHFTF31	Thermoplasmatota	0.00506635912199954	DQ_HN
JHFTF32	Thermoplasmatota	0.00398055033047271	DQ_HN
JHFTF33	Thermoplasmatota	0.00651830154948608	DQ_HN
JHFTF3	Thermoplasmatota	0.00517916028612712	DQ_HN
JHFTF4	Thermoplasmatota	0.00440350806403074	DQ_HN
JHFTF5	Thermoplasmatota	0.0047819112838681	DQ_HN
JHFTF6	Thermoplasmatota	0.00638647503672885	DQ_HN
JHFTF7	Thermoplasmatota	0.00720310724569256	DQ_HN
JHFTF8	Thermoplasmatota	0.0040205050919706	DQ_HN
YF10	Thermoplasmatota	0.00621319746241108	DQ_YN
YF11	Thermoplasmatota	0.00752936992567297	DQ_YN
